caseid,wt2,wt2a,knowledge,sex,race,age,female,white,oftenvote,conservative,prayfreq,heterosexual,married,yrsofschool,income,speaker,vp,pm,cj
116,.3109,30106.197102,2,2,1,55,1,1,4,2,2,1,0,16,17,1,1,0,0
117,.2357,22818.915283,0,2,4,35,1,0,3,4,3,1,0,13,17,0,0,0,0
119,.47130001,45637.830566,0,1,4,35,0,0,4,3,3,1,1,15,15,0,0,0,0
120,2.3245001,225080.482182,1,1,4,73,0,0,4,4,5,1,1,12,10,0,1,0,0
122,1.3384,129593.955842,3,1,4,35,0,0,3,5,4,1,0,17,17,1,1,0,1
125,.47130001,45637.830566,2,1,1,31,0,1,1,5,1,1,0,14,18,1,1,0,0
126,1.2648,122470.876411,3,2,1,53,1,1,4,4,1,1,1,12,1,1,1,0,1
129,.76880002,74446.391017,0,2,1,75,1,1,4,6,4,1,0,12,10,0,0,0,0
131,1.4069,136232.697714,3,2,1,58,1,1,4,1,1,1,1,17,18,1,1,1,0
132,1.1246001,108892.411179,3,2,1,50,1,1,4,2,3,1,1,15,9,1,1,0,1
133,1.0646,103086.697711,1,2,1,35,1,1,2,5,2,1,1,14,8,0,1,0,0
134,1.9382,187676.484683,1,1,1,52,0,1,3,3,1,1,1,13,12,0,1,0,0
135,3.1019001,300352.843395,1,1,1,18,0,1,1,4,2,1,0,12,2,0,1,0,0
137,1.9382,187676.484683,2,1,1,52,0,1,4,5,1,1,1,17,10,1,0,1,0
138,.47130001,45637.830566,1,2,4,36,1,0,4,2,5,1,1,14,18,0,1,0,0
139,2.865,277412.714912,4,1,1,76,0,1,4,6,2,1,1,16,21,1,1,1,1
141,2.0309999,196659.528423,3,2,1,53,1,1,4,6,4,1,1,13,7,1,1,1,0
144,2.0304999,196615.864199,4,2,1,58,1,1,4,5,1,1,1,12,7,1,1,1,1
145,1.9223,186133.082539,1,1,1,31,0,1,3,5,1,1,1,12,20,0,1,0,0
146,.70359999,68127.354431,3,2,1,64,1,1,4,2,4,1,1,16,19,1,1,1,0
150,.56239998,54455.002476,4,1,1,60,0,1,4,2,1,1,1,14,18,1,1,1,1
151,.70819998,68569.997349,4,1,1,46,0,1,4,2,3,1,1,14,11,1,1,1,1
152,.77710003,75246.436048,4,1,1,57,0,1,4,6,5,1,1,16,25,1,1,1,1
153,.70819998,68569.997349,3,1,1,42,0,1,4,6,4,1,1,15,24,1,1,1,0
155,.56239998,54455.002476,1,2,1,64,1,1,1,3,5,1,1,13,6,0,0,1,0
160,2.9609001,286696.935889,0,2,1,26,1,1,3,4,5,1,0,13,12,0,0,0,0
161,2.0143001,195042.252086,0,1,1,35,0,1,1,5,1,1,1,12,13,0,0,0,0
162,2.4054999,232918.373633,2,1,4,34,0,0,1,3,2,1,1,16,23,0,1,0,1
164,.6031,58399.886641,0,1,1,85,0,1,4,3,2,1,0,10,6,0,0,0,0
165,.58969998,57096.401011,1,1,5,36,0,0,3,6,1,1,0,16,21,0,1,0,0
168,.60900003,58972.256245,4,2,4,46,1,0,4,2,4,1,0,6,12,1,1,1,1
170,.61739999,59786.313587,4,2,4,53,1,0,2,4,3,1,0,4,9,1,1,1,1
171,.31009999,30026.632843,2,1,4,50,0,0,1,4,4,1,1,6,12,1,0,0,1
172,.35600001,34466.800219,4,1,4,44,0,0,4,4,4,1,0,11,14,1,1,1,1
