"ID","SexistRemarks","GainPower","HarrisTherm","TrumpTherm","RFemale","RAge","RConservative"
212747,3,3,30,50,1,31,4
212753,5,5,0,0,0,38,4
212783,4,2,40,60,0,18,4
212817,5,5,15,70,0,38,6
212823,4,3,10,75,1,72,6
212842,2,2,85,0,0,48,4
212866,2,1,15,0,0,42,6
212872,3,3,0,100,0,39,6
212884,1,1,100,0,0,66,2
212932,1,1,90,0,1,51,1
212950,2,1,70,0,1,22,3
212956,4,3,0,70,1,53,4
212980,3,3,0,70,1,37,6
212998,2,2,75,15,0,52,3
213012,3,3,15,30,0,68,5
213024,4,2,100,0,0,73,2
213053,3,4,0,85,0,33,7
213059,1,1,80,0,0,40,3
213094,3,2,50,30,1,54,4
213100,4,3,30,30,1,36,5
213124,1,2,15,40,1,64,6
213135,4,2,60,30,1,65,4
213147,4,3,30,85,0,64,6
213188,4,2,100,0,1,66,3
213201,4,4,0,60,1,80,4
213212,4,4,0,85,0,63,4
213218,5,4,100,85,1,29,1
213259,3,3,0,85,1,53,4
213300,3,3,0,85,0,60,6
213387,3,3,50,15,0,52,4
213429,4,1,30,40,0,35,5
213435,3,3,40,0,1,64,6
213453,3,3,0,85,0,73,7
213471,4,2,30,85,1,55,5
213477,3,2,0,90,1,34,5
213489,5,4,5,90,0,52,6
213524,4,2,5,97,0,58,7
213530,3,3,0,85,1,58,6
213536,4,4,100,0,0,80,4
213542,3,3,0,70,0,48,6
213560,4,3,0,100,0,59,7
213572,2,4,0,0,0,75,5
213578,5,5,0,70,0,56,5
213595,4,4,0,100,0,34,7
213601,2,3,85,15,0,80,4
213607,3,3,85,15,0,75,3
213631,3,1,85,0,1,28,2
213643,2,1,100,0,1,67,3
213649,3,3,30,80,1,78,6
213660,4,1,60,0,1,53,4
213666,3,1,85,0,0,66,2
213690,3,1,0,40,0,37,4
213696,4,1,80,15,1,67,5
213702,5,5,0,100,0,52,1
213708,4,2,30,0,1,80,6
213720,5,3,15,85,0,64,7
213725,3,3,40,60,0,69,6
213731,2,5,0,100,1,73,7
213749,4,3,0,70,1,63,6
213755,3,1,0,85,0,18,7
213779,3,3,0,70,1,71,6
213785,4,3,0,100,1,60,6
213791,1,4,0,100,0,76,7
213798,4,3,0,95,1,54,6
213834,2,2,60,15,1,37,5
213845,3,2,50,65,0,25,4
213869,2,4,70,0,1,20,1
213893,1,1,87,0,1,34,4
213899,2,1,0,100,1,32,6
213916,3,1,70,0,1,59,4
213952,4,4,50,60,0,34,3
213997,1,5,60,85,1,26,2
214020,5,5,15,85,0,63,6
214054,2,1,15,85,1,51,6
214063,5,1,100,0,1,76,2
214069,2,2,100,0,0,58,5
214075,1,2,40,0,0,35,3
214092,3,3,15,0,0,47,4
214098,4,3,85,70,1,66,4
214128,3,3,50,70,1,37,5
214134,3,2,0,100,0,34,6
214139,5,4,0,85,1,46,5
214163,3,5,0,100,0,51,6
214175,4,3,15,90,1,73,4
214187,5,5,0,100,0,49,7
214216,4,1,60,0,0,73,6
214228,3,1,0,85,0,35,7
214234,3,3,0,85,1,74,4
214243,2,1,100,0,1,62,4
214249,3,1,85,0,0,48,4
214267,2,1,90,0,1,33,2
214278,5,3,12,95,1,30,6
214296,4,1,100,0,1,65,2
214314,3,3,0,60,1,76,5
214319,3,3,0,50,1,47,4
214337,2,3,0,96,0,71,6
214428,4,4,0,70,1,22,6
214486,1,3,0,100,1,69,6
214505,4,1,0,0,0,18,4
214522,4,4,60,0,1,62,6
214582,3,2,70,0,1,47,3
214594,2,1,50,75,1,43,4
214612,3,3,0,70,1,43,5
214647,4,3,0,100,1,61,7
214664,2,1,65,0,1,50,3
214670,3,3,85,0,0,72,2
214688,4,4,0,100,1,24,7
214717,5,5,5,100,0,32,6
214723,4,2,0,100,1,53,6
214729,3,3,0,100,0,75,6
214740,2,1,0,70,0,54,6
214746,2,1,50,15,1,48,5
214752,4,4,0,100,1,60,6
214772,3,3,100,0,0,78,2
214796,4,3,15,100,0,36,6
214832,4,4,0,100,1,51,6
214843,4,4,0,85,1,36,6
214855,4,3,0,100,0,44,6
214873,3,3,0,100,0,45,6
214897,3,1,0,90,0,48,6
214915,4,2,0,85,0,72,6
214920,4,3,0,70,0,65,6
214932,3,3,15,60,0,33,5
214962,2,1,70,0,1,48,4
214986,1,2,80,0,1,43,2
215033,2,3,50,0,1,28,4
215045,2,1,60,0,1,33,3
215091,3,3,40,70,0,61,6
215114,3,3,0,100,0,20,7
215155,4,4,0,95,0,26,4
215185,3,3,85,0,1,23,3
215202,3,3,0,85,0,49,5
215214,3,3,30,70,1,47,6
215262,4,3,0,100,0,46,7
215291,3,3,15,30,1,71,5
215301,1,1,100,0,1,64,1
215319,3,1,100,0,0,60,1
215343,4,2,70,15,0,34,3
215361,5,3,0,100,0,73,7
215391,4,1,0,60,1,80,4
215415,5,4,0,100,1,41,6
215421,3,3,0,100,0,67,7
215445,4,4,0,85,0,41,7
215451,2,1,100,0,0,60,3
215457,4,3,70,15,0,68,5
215487,3,3,95,0,1,40,4
215540,3,3,100,0,1,33,4
215581,2,3,100,0,1,35,1
215617,5,3,70,0,0,62,4
215629,3,3,70,0,1,36,4
215658,2,1,85,0,1,43,3
215815,3,2,50,70,1,44,6
215821,3,3,100,2,0,38,4
215985,3,3,100,0,1,36,6
216020,2,2,90,15,1,35,2
216085,3,4,15,60,0,34,5
216091,1,1,40,60,0,30,4
216103,3,3,5,70,1,55,4
216109,2,1,60,0,0,58,4
216162,4,1,95,0,0,61,2
216210,4,1,80,0,1,56,2
216216,3,3,55,15,0,57,4
216251,4,5,0,100,1,20,7
216257,2,2,15,85,1,80,7
216281,3,3,0,80,1,26,6
216318,3,3,50,0,1,50,4
216383,1,1,100,0,1,70,2
216395,1,1,85,0,1,43,3
216407,1,1,85,0,1,41,2
216413,2,3,0,100,1,28,6
216419,1,1,90,0,1,39,3
216442,4,1,0,100,1,69,5
216448,4,4,0,100,1,79,7
216454,4,3,0,100,1,63,6
216466,1,1,0,100,0,74,7
216478,3,3,0,85,0,75,6
216484,4,4,15,70,0,65,6
216510,1,1,100,0,1,50,1
216522,2,1,70,0,1,22,1
216528,5,1,85,0,1,26,4
216593,2,3,30,70,1,40,5
216687,3,3,50,80,0,38,1
216735,4,4,50,50,1,27,4
216746,1,1,85,0,1,71,2
216752,3,4,0,99,0,29,7
216804,1,1,85,15,1,34,3
216816,1,3,50,50,0,32,4
216852,2,2,30,60,1,28,5
216874,4,2,90,0,1,27,5
216880,3,3,100,0,1,57,4
216934,3,3,100,0,1,55,3
216982,5,1,100,0,1,80,4
216988,1,1,85,0,1,33,2
216993,4,3,100,0,1,56,2
217011,2,1,85,0,1,34,2
217017,3,4,30,60,0,34,6
217023,3,3,70,0,1,47,4
217041,2,3,70,15,1,63,4
217059,1,1,100,0,0,62,2
217071,3,3,55,80,1,23,4
217119,3,2,15,70,1,29,3
217125,3,3,70,0,1,29,4
217131,4,4,15,70,1,80,6
217136,4,4,0,100,1,47,5
217148,3,1,0,100,1,40,6
217182,3,3,85,0,0,38,4
217223,1,1,85,0,1,30,2
217228,4,2,85,0,1,72,2
217240,3,3,85,0,1,80,3
217258,3,1,100,0,1,64,2
217263,2,1,70,0,1,80,2
217275,4,3,20,40,0,41,5
217287,2,1,75,0,1,27,3
217298,4,2,85,0,0,68,2
217369,2,4,10,60,0,20,6
217431,4,4,15,70,1,25,5
217497,3,3,40,0,1,35,3
217527,4,1,85,0,1,65,3
217533,1,3,60,50,0,61,4
217610,3,3,0,85,0,43,3
217634,3,3,85,0,0,54,3
217701,1,1,85,0,1,35,2
217719,3,1,85,0,1,57,3
217731,3,3,80,0,1,32,3
217737,1,2,60,15,1,26,3
217808,4,3,15,70,1,55,3
217890,1,1,100,0,0,57,2
217907,3,2,75,0,1,48,3
217948,1,1,90,0,1,42,1
217954,1,1,80,0,0,25,2
217972,2,1,60,0,1,61,4
217995,3,1,30,10,0,44,4
218013,1,1,100,0,1,49,2
218031,1,2,85,0,1,41,3
218037,1,1,85,0,1,33,2
218066,3,3,70,0,0,19,2
218090,1,1,85,0,1,26,2
218160,5,5,0,100,0,71,6
218166,3,3,50,60,1,56,4
218236,3,4,60,0,0,35,4
218284,3,3,70,0,0,78,2
218296,4,2,70,0,0,80,2
218331,3,1,85,0,1,46,4
218349,3,1,85,0,0,71,1
218361,4,2,60,15,1,42,5
218373,1,1,0,100,1,46,6
218379,4,2,85,15,0,61,3
218408,4,2,85,0,1,80,2
218414,3,3,100,0,1,67,3
218420,4,3,0,95,1,76,6
218426,4,1,30,60,1,43,5
218444,5,3,0,70,1,78,6
218450,3,3,75,0,0,70,4
218516,1,3,50,30,1,26,4
218575,3,3,70,70,1,39,1
218598,3,3,70,30,1,60,4
218622,1,1,85,0,1,22,1
218628,3,3,0,85,0,32,6
218657,3,3,70,0,1,42,4
218681,3,4,65,45,1,42,4
218693,3,3,0,20,1,35,4
218739,3,3,0,40,0,35,5
218787,4,2,85,0,1,54,2
218805,1,3,70,40,1,37,4
218906,3,2,70,30,0,63,4
218935,3,3,100,0,1,68,4
219000,2,1,85,0,1,51,2
219014,4,3,85,0,0,73,3
219032,2,1,75,0,0,19,4
219050,2,2,20,80,0,60,4
219056,4,1,100,0,0,32,4
219092,3,3,40,60,0,62,5
219098,3,3,0,100,1,63,7
219104,4,3,0,85,0,80,6
219155,3,3,50,30,0,36,3
219173,4,4,0,85,0,53,2
219232,3,3,30,50,1,37,5
219244,3,3,85,0,1,59,4
219303,3,1,40,30,1,24,4
219350,4,2,100,85,0,50,7
219373,4,3,40,70,0,40,7
219391,2,2,60,15,1,19,3
219397,1,1,100,60,0,25,5
219491,3,3,40,85,1,23,6
219521,1,1,50,0,1,21,2
219556,3,4,60,0,0,40,4
219562,5,5,0,100,1,28,2
219568,3,3,70,70,0,37,2
219586,4,4,60,60,0,30,5
219621,3,3,15,60,0,30,6
219697,2,1,30,0,1,33,4
219703,4,4,0,100,0,36,7
219709,2,1,15,70,1,20,5
219745,1,1,55,0,1,44,2
219756,1,1,15,0,0,30,5
219776,3,3,100,0,1,70,4
219853,3,4,30,85,0,29,2
219888,3,1,85,0,1,53,3
219894,2,3,60,0,0,49,3
219900,4,1,60,15,1,49,2
220006,3,3,55,25,0,43,3
220035,3,2,85,15,1,72,4
220047,1,1,10,88,1,24,4
220059,4,4,0,80,0,58,6
220088,3,3,50,30,1,69,4
220142,3,3,0,50,0,59,6
220171,5,5,0,90,0,60,6
220183,2,3,0,85,0,78,7
