WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,weights,BedSize
996975,1,0,0,9,6,5,1,0,0,70,1.73,2
996976,1,0,0,10,10,7,0,0,0,63,0.59,1
996981,0,1,0,5,1,6,0,0,1,47,0.74,3
997212,1,0,0,14,12,6,0,1,0,67,0.54,3
997216,1,0,0,12,3,2,1,0,1,66,0.11,2
997217,1,0,0,11,11,2,0,0,0,46,1.43,4
997220,1,0,0,13,7,5,1,0,0,81,0.38,4
997224,1,0,0,13,11,6,0,1,0,57,0.21,3
997225,1,0,0,11,4,6,0,0,1,69,0.24,3
997228,1,0,0,9,2,7,0,1,0,86,0.22,3
997229,1,0,0,13,11,5,0,1,0,80,0.54,1
997231,1,0,0,12,5,7,1,1,0,45,0.16,3
997232,1,0,0,13,4,1,0,0,1,62,0.12,2
997235,1,0,0,10,8,4,1,0,0,30,3.1,2
997807,0,1,0,12,2,8,1,0,1,75,0.17,4
997811,1,0,0,10,13,2,0,0,0,62,0.99,4
997812,1,0,0,15,15,6,0,1,0,48,0.3,4
997813,1,0,0,12,1,2,1,0,0,34,0.29,2
997814,1,0,0,10,11,7,1,1,0,61,1.18,4
997816,1,0,0,12,11,4,0,1,0,81,0.45,4
997818,1,0,0,12,7,6,0,0,0,61,0.13,4
997820,1,0,0,9,2,4,1,0,1,84,0.07,3
997822,1,0,0,12,10,5,1,0,0,55,0.36,3
997823,1,0,0,12,6,2,0,0,1,75,0.25,4
997824,1,0,0,13,7,4,1,0,0,50,0.11,4
997827,1,0,0,12,3,7,1,1,0,68,1.27,2
997828,1,0,0,10,5,3,1,0,1,64,0.18,3
997829,1,0,0,12,8,4,1,0,0,45,0.84,3
997831,1,0,0,11,7,6,0,0,0,71,0.42,4
997832,1,0,0,10,7,3,0,0,1,79,3,3
997833,1,0,0,9,7,5,1,0,0,60,2.91,4
997835,1,0,0,10,6,8,1,0,1,74,0.81,3
997842,1,0,0,13,6,4,1,0,1,71,0.2,2
997844,1,0,0,10,6,5,1,0,0,70,0.97,3
997846,1,0,0,14,8,4,0,0,0,81,0.48,1
997851,1,0,0,13,14,4,0,0,0,81,0.24,4
997855,1,0,0,12,8,3,1,0,1,58,0.21,3
997859,1,0,0,9,9,8,0,0,0,42,1.65,4
997861,1,0,0,14,6,4,1,0,1,66,0.19,3
997862,1,0,0,10,5,4,0,1,0,63,0.25,1
997864,1,0,0,10,6,6,0,1,0,75,0.47,3
997868,1,0,0,12,2,6,1,0,1,31,0.14,4
997870,1,0,0,11,3,8,1,0,0,67,0.06,2
997871,1,0,0,12,8,3,0,0,0,43,0.82,3
997872,1,0,0,11,5,5,0,1,0,45,0.62,3
998051,1,0,0,9,4,5,1,0,0,78,0.81,3
998052,1,0,0,15,14,5,1,1,0,71,0.76,4
998062,0,1,0,9,3,3,0,0,1,68,5.15,4
998063,1,0,0,10,2,2,1,0,1,84,0.1,3
998064,1,0,0,12,4,4,1,0,0,66,0.1,4
998068,1,0,0,10,11,2,1,0,1,56,2.67,4
998069,1,0,0,13,13,7,0,0,0,66,0.34,3
998070,1,0,0,15,9,4,1,0,1,58,0.34,4
998073,1,0,0,11,1,1,1,0,0,62,3.56,3
998075,1,0,0,13,10,6,0,1,0,64,0.15,3
998076,1,0,0,10,4,5,1,0,1,64,0.31,3
998138,1,0,0,13,7,5,1,0,0,52,0.2,4
998139,1,0,0,12,8,2,1,0,0,78,0.34,3
998140,1,0,0,10,3,2,1,0,1,62,0.34,2
998276,1,0,0,12,5,6,1,0,0,49,0.11,4
998278,1,0,0,13,14,5,1,1,0,46,0.36,4
998279,0,0,1,9,2,3,0,0,1,29,7.38,4
998281,0,1,0,11,4,2,1,0,1,71,0.75,3
998284,1,0,0,12,4,4,1,1,0,65,0.1,3
998478,1,0,0,11,8,6,1,1,0,66,0.35,2
998479,1,0,0,12,3,4,1,0,0,71,0.06,3
998481,1,0,0,10,9,5,1,0,0,54,0.98,2
998482,1,0,0,11,5,2,0,0,1,60,0.09,2
999155,1,0,0,13,5,4,0,0,1,81,0.07,4
999157,1,0,0,12,4,4,1,0,0,67,0.31,1
999158,1,0,0,12,11,3,0,0,0,84,0.48,4
999159,1,0,0,11,9,6,1,0,0,66,0.52,4
999164,1,0,0,9,4,7,1,0,1,70,0.5,4
999172,1,0,0,10,7,6,1,1,0,68,0.88,3
999174,1,0,0,12,11,6,0,1,0,73,0.76,3
999175,1,0,0,9,13,6,1,1,0,51,1.6,4
999178,1,0,0,10,4,2,1,0,1,60,0.18,3
999182,1,0,0,10,5,6,0,1,0,63,0.14,3
999185,1,0,0,11,3,7,0,1,0,54,0.25,3
